,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Washer_No,Dryer_No,Spectacles,Race_chinese,Race_foreigner ,Race_indian,Race_malay,Attire_casual,Attire_formal,Attire_traditional,Wash_Item_blankets,Wash_Item_clothes
536,0,1,29.0,0,1,0,3,9,1,0,0,3,7,0,1,0,0,0,1,0,0,1,0
537,0,1,30.0,0,1,0,3,9,1,11,1,3,9,0,0,0,1,0,1,0,0,0,1
538,0,1,46.0,0,1,0,1,4,1,0,0,4,9,0,0,0,1,0,0,1,0,0,1
539,0,2,39.0,0,1,0,1,0,1,0,0,6,7,0,0,0,1,0,1,0,0,1,0
541,0,0,43.0,0,1,0,9,2,1,0,1,3,9,0,0,0,1,0,1,0,0,0,1
542,0,2,29.0,0,1,0,9,0,1,5,1,6,9,0,0,0,1,0,1,0,0,0,1
543,1,2,42.0,0,1,0,7,9,1,12,1,6,8,0,1,0,0,0,1,0,0,1,0
544,1,2,55.0,1,2,0,10,0,1,0,0,4,9,0,1,0,0,0,1,0,0,0,1
545,1,2,40.0,0,1,0,1,0,1,7,0,6,10,0,0,0,1,0,1,0,0,0,1
546,0,0,36.0,0,1,0,10,8,0,6,0,3,9,0,0,0,0,1,1,0,0,0,1
547,1,2,37.0,1,4,0,5,9,1,7,0,6,9,0,0,0,1,0,0,1,0,0,1
548,1,1,38.0,0,1,0,9,8,1,4,0,6,8,1,0,0,1,0,1,0,0,1,0
549,0,2,36.0,1,0,0,9,9,1,0,0,3,8,0,1,0,0,0,1,0,0,1,0
550,1,2,48.0,0,1,1,9,0,1,0,0,4,9,0,0,0,0,1,1,0,0,0,1
551,1,1,35.0,0,1,0,9,10,1,0,0,3,10,1,1,0,0,0,1,0,0,0,1
552,1,2,41.0,0,1,0,0,0,1,0,0,4,7,1,0,0,1,0,1,0,0,1,0
553,0,0,53.0,0,1,0,1,9,1,12,0,5,10,0,0,0,1,0,0,0,1,0,1
554,0,1,44.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
555,0,2,46.0,0,1,0,4,0,1,12,1,5,9,1,1,0,0,0,1,0,0,0,1
556,1,0,29.0,0,1,0,9,10,1,12,0,3,7,1,0,0,1,0,1,0,0,0,1
557,1,0,42.0,0,1,0,8,9,1,0,0,6,7,0,0,1,0,0,1,0,0,1,0
558,0,1,39.0,0,1,0,6,7,1,9,0,5,10,1,1,0,0,0,1,0,0,0,1
559,0,1,37.0,0,1,0,3,9,1,0,0,6,7,0,1,0,0,0,1,0,0,1,0
560,0,1,49.0,0,1,0,3,9,1,11,1,3,9,0,0,0,1,0,1,0,0,0,1
561,0,1,43.0,0,1,0,1,4,1,0,0,4,10,0,0,0,1,0,0,1,0,0,1
562,1,2,42.0,0,1,0,8,0,0,4,0,4,8,0,1,0,0,0,1,0,0,0,1
563,1,2,54.0,0,1,0,9,2,1,4,0,5,7,0,0,0,1,0,1,0,0,1,0
564,1,1,49.0,0,1,0,3,2,1,0,1,6,10,0,0,0,1,0,1,0,0,0,1
565,0,2,51.0,0,1,0,8,0,0,4,0,4,8,0,1,0,0,0,1,0,0,0,1
566,1,0,53.0,0,1,0,8,2,1,0,0,6,10,0,1,0,0,0,1,0,0,0,1
567,1,0,38.0,1,4,0,8,3,1,4,0,3,10,0,0,0,1,0,1,0,0,0,1
568,1,0,28.0,0,1,0,10,11,1,4,0,3,7,0,0,0,1,0,1,0,0,0,1
569,1,0,30.0,0,1,0,8,6,1,7,0,4,7,1,0,0,1,0,1,0,0,0,1
570,1,1,55.0,0,1,0,1,10,1,2,1,4,8,1,1,0,0,0,1,0,0,1,0
571,1,0,37.0,1,4,0,1,9,1,4,0,4,10,0,0,0,1,0,1,0,0,0,1
572,1,0,42.0,0,1,0,9,6,1,5,1,5,7,0,0,1,0,0,1,0,0,1,0
573,1,1,33.0,0,1,0,9,10,1,4,0,3,7,0,0,1,0,0,1,0,0,0,1
574,1,0,36.0,1,4,0,5,10,1,2,1,3,8,1,1,0,0,0,1,0,0,0,1
575,0,0,38.0,1,2,0,8,9,1,7,0,3,8,0,0,0,0,1,1,0,0,0,1
576,0,1,33.0,0,1,0,0,5,0,3,0,5,7,0,0,0,0,1,1,0,0,0,1
577,1,1,38.0,0,1,0,8,5,1,0,0,6,8,0,1,0,0,0,1,0,0,0,1
578,0,1,36.0,0,1,0,3,0,1,7,0,6,10,0,0,0,1,0,1,0,0,0,1
579,1,2,36.0,0,1,0,3,5,1,0,0,6,9,0,1,0,0,0,1,0,0,1,0
580,0,2,53.0,0,1,0,9,2,1,4,0,6,7,1,1,0,0,0,1,0,0,1,0
581,0,0,50.0,0,1,0,9,9,1,7,0,6,9,1,0,0,0,1,1,0,0,0,1
582,0,0,46.0,0,1,0,9,9,0,11,0,5,7,1,0,0,0,1,0,0,1,1,0
583,0,0,37.0,1,4,1,9,3,1,2,0,5,9,0,0,0,1,0,0,0,1,0,1
584,0,1,43.0,1,0,0,9,2,1,5,1,3,9,0,0,0,1,0,1,0,0,0,1
585,0,0,48.0,1,2,0,8,9,1,6,1,6,8,0,1,0,0,0,1,0,0,0,1
586,0,0,37.0,1,4,0,8,8,1,0,0,4,8,0,0,0,1,0,1,0,0,0,1
587,0,1,52.0,1,4,0,8,10,1,10,1,3,7,0,0,0,1,0,1,0,0,0,1
590,0,0,42.0,0,1,0,1,3,0,0,0,6,7,0,1,0,0,0,1,0,0,1,0
591,0,1,41.0,0,1,0,9,10,1,0,0,3,10,0,0,0,1,0,1,0,0,1,0
592,0,1,47.0,0,1,0,0,0,1,6,1,4,7,0,0,0,1,0,1,0,0,1,0
593,0,1,29.0,0,1,0,1,10,0,0,0,3,7,0,0,0,1,0,1,0,0,1,0
594,0,0,46.0,1,4,0,6,10,1,0,0,5,10,0,0,0,1,0,1,0,0,1,0
595,0,0,36.0,1,4,0,6,10,1,0,0,5,10,0,0,0,1,0,1,0,0,1,0
596,0,1,34.0,0,1,0,3,9,1,0,0,4,7,0,1,0,0,0,1,0,0,1,0
597,0,1,51.0,0,1,0,3,9,1,0,0,4,7,0,1,0,0,0,1,0,0,1,0
598,0,1,51.0,1,4,0,8,10,1,10,1,3,7,0,0,0,1,0,1,0,0,0,1
599,0,0,44.0,0,1,0,9,4,1,0,0,5,8,0,0,0,1,0,0,0,1,1,0
600,0,1,33.0,0,1,0,1,10,1,7,0,3,7,0,1,0,0,0,1,0,0,1,0
601,0,0,46.0,0,1,0,1,3,0,0,0,5,7,0,1,0,0,0,1,0,0,1,0
602,0,0,45.0,1,4,1,9,3,1,2,0,5,10,0,0,0,1,0,0,0,1,0,1
603,0,1,45.0,0,1,0,3,2,1,4,1,5,9,1,0,0,1,0,1,0,0,0,1
604,0,2,50.0,1,4,0,9,10,1,0,1,5,7,0,0,0,1,0,1,0,0,1,0
605,0,1,37.0,0,1,0,8,9,0,0,0,5,8,0,0,0,0,1,1,0,0,0,1
606,0,0,40.0,1,4,0,0,0,1,0,1,3,9,1,0,0,1,0,1,0,0,0,1
607,0,2,44.0,1,0,0,3,11,0,0,0,3,7,1,0,1,0,0,0,1,0,0,1
609,1,0,51.0,0,1,0,9,0,1,4,0,6,7,0,0,0,1,0,1,0,0,0,1
610,1,1,49.0,0,1,0,9,10,1,0,1,6,8,1,1,0,0,0,1,0,0,0,1
611,0,1,40.0,1,4,0,1,10,1,0,0,4,7,0,0,0,1,0,1,0,0,0,1
612,0,0,46.0,0,1,0,0,6,0,12,0,6,9,0,0,0,0,1,1,0,0,0,1
613,1,0,38.0,0,1,0,1,10,1,0,1,3,9,1,1,0,0,0,1,0,0,0,1
614,0,1,52.0,0,1,0,9,7,1,4,1,4,7,0,1,0,0,0,1,0,0,0,1
615,0,0,55.0,0,1,1,9,9,1,0,0,5,9,0,0,0,1,0,0,0,1,0,1
616,0,0,51.0,1,4,1,9,3,1,2,0,5,8,0,0,0,1,0,0,0,1,0,1
617,0,0,41.0,0,1,0,9,8,0,0,0,4,7,0,0,0,1,0,0,1,0,0,1
618,0,1,44.0,1,4,0,8,10,1,10,1,3,8,0,0,0,1,0,1,0,0,0,1
619,0,0,43.0,0,1,0,6,10,1,12,0,4,10,0,0,0,1,0,0,0,1,0,1
620,0,1,49.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
622,0,0,29.0,1,4,1,9,3,1,2,0,5,10,0,0,0,1,0,0,0,1,0,1
623,0,1,32.0,1,4,0,8,10,1,10,1,3,10,0,0,0,1,0,1,0,0,0,1
624,0,1,55.0,1,4,0,8,10,1,10,1,3,8,0,0,0,1,0,1,0,0,0,1
626,0,0,35.0,1,4,0,0,0,1,0,1,5,9,1,0,0,1,0,1,0,0,0,1
627,0,1,55.0,1,4,0,1,7,0,0,0,3,10,0,0,1,0,0,1,0,0,0,1
628,1,1,54.0,0,1,0,8,11,1,0,0,4,8,1,1,0,0,0,1,0,0,0,1
629,1,0,54.0,0,1,0,8,2,0,0,0,4,10,0,0,1,0,0,0,1,0,1,0
630,1,0,45.0,0,1,0,9,4,1,0,1,3,7,0,0,1,0,0,1,0,0,0,1
632,1,0,37.0,0,1,0,8,10,0,0,0,5,9,0,0,1,0,0,1,0,0,0,1
633,1,0,28.0,0,1,0,9,5,0,7,0,4,7,0,0,1,0,0,0,0,1,0,1
634,1,0,39.0,1,2,0,9,10,1,7,0,4,7,0,0,0,1,0,0,1,0,0,1
635,1,0,38.0,1,4,0,7,9,1,0,0,6,10,1,0,0,1,0,1,0,0,1,0
636,1,1,37.0,0,1,0,8,10,1,2,1,3,10,1,1,0,0,0,1,0,0,0,1
637,1,0,55.0,0,1,0,8,10,1,0,0,6,7,0,0,1,0,0,1,0,0,1,0
638,0,0,47.0,0,1,0,9,2,0,0,0,6,8,1,0,0,1,0,0,1,0,1,0
639,0,0,32.0,1,4,0,2,2,0,2,0,3,10,1,0,0,0,1,0,0,1,0,1
640,0,1,53.0,0,1,0,9,9,1,7,0,5,8,0,1,0,0,0,1,0,0,0,1
641,0,1,40.0,0,1,0,8,3,0,0,0,6,7,1,0,0,1,0,1,0,0,1,0
642,1,0,48.0,0,1,0,6,11,1,0,1,5,7,0,1,0,0,0,1,0,0,0,1
643,0,0,29.0,0,1,0,1,5,0,2,0,4,10,0,1,0,0,0,1,0,0,0,1
644,1,0,39.0,0,1,0,6,0,1,4,0,5,7,0,0,0,1,0,1,0,0,0,1
646,1,1,53.0,0,1,0,9,0,1,4,0,6,10,0,0,0,1,0,1,0,0,0,1
649,1,1,55.0,0,1,0,8,2,0,0,0,6,8,0,0,0,1,0,0,1,0,0,1
651,1,0,41.0,0,1,0,9,9,1,7,1,3,7,0,0,0,1,0,1,0,0,0,1
654,0,2,44.0,0,1,0,8,5,1,12,1,5,9,0,0,0,1,0,1,0,0,0,1
656,1,0,34.0,1,4,0,9,2,1,0,0,3,7,0,0,0,1,0,1,0,0,1,0
657,0,1,40.0,1,4,0,9,4,1,9,1,5,7,0,1,0,0,0,1,0,0,0,1
658,0,1,28.0,1,4,0,8,0,1,0,0,6,7,1,1,0,0,0,1,0,0,0,1
661,0,1,37.0,1,4,0,1,7,0,0,0,5,10,0,0,1,0,0,1,0,0,0,1
664,1,0,43.0,0,1,0,1,0,1,12,1,3,7,0,1,0,0,0,1,0,0,0,1
665,1,2,44.0,0,1,1,2,5,1,5,1,5,7,0,0,1,0,0,1,0,0,0,1
666,0,1,44.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
667,0,1,38.0,0,1,0,9,10,1,11,1,6,9,0,1,0,0,0,1,0,0,0,1
668,1,0,46.0,0,1,0,9,6,1,5,1,3,7,0,0,1,0,0,1,0,0,1,0
669,1,0,50.0,0,1,0,1,10,1,0,1,3,10,1,1,0,0,0,0,1,0,0,1
670,0,1,47.0,0,1,0,9,10,1,11,1,6,9,0,1,0,0,0,0,1,0,0,1
671,0,1,41.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,0,1,0,0,1
672,1,0,29.0,0,1,0,9,4,1,0,1,3,7,0,0,1,0,0,0,1,0,0,1
673,1,0,29.0,0,1,0,6,11,1,0,1,5,9,0,1,0,0,0,0,1,0,0,1
674,1,2,51.0,1,2,0,8,10,1,12,1,5,9,1,1,0,0,0,0,1,0,0,1
675,1,0,53.0,0,1,0,8,2,1,6,1,3,9,1,1,0,0,0,1,0,0,0,1
676,1,0,36.0,0,1,0,1,0,1,12,1,3,7,0,1,0,0,0,1,0,0,0,1
677,1,2,39.0,0,1,1,2,5,1,5,1,5,10,0,0,1,0,0,0,1,0,0,1
678,0,1,49.0,0,1,0,9,10,1,11,1,6,7,0,1,0,0,0,0,1,0,0,1
679,0,1,36.0,0,1,0,9,10,1,11,1,6,7,0,1,0,0,0,0,1,0,0,1
680,1,0,54.0,0,1,0,9,6,1,5,1,3,7,0,0,1,0,0,0,1,0,1,0
681,1,0,47.0,0,1,0,1,10,1,0,1,3,8,1,1,0,0,0,0,1,0,0,1
688,0,1,47.0,1,0,0,9,10,1,11,1,6,10,0,1,0,0,0,0,1,0,1,0
689,0,1,54.0,1,2,0,6,10,1,11,1,3,10,0,1,0,0,0,1,0,0,1,0
690,0,1,39.0,1,2,0,5,8,1,10,1,6,10,0,1,0,0,0,1,0,0,1,0
692,0,1,52.0,1,0,0,0,7,1,11,1,6,10,0,1,0,0,0,0,1,0,1,0
693,0,1,36.0,1,0,0,5,8,1,11,1,3,9,0,1,0,0,0,0,1,0,1,0
694,0,1,35.0,1,0,0,0,6,1,11,1,6,8,0,1,0,0,0,0,1,0,0,1
695,0,1,45.0,1,0,0,8,7,1,2,1,5,8,0,1,0,0,0,0,1,0,1,0
696,0,1,47.0,1,0,0,4,8,1,12,1,4,10,0,1,0,0,0,0,1,0,1,0
698,0,1,46.0,1,0,0,0,7,1,9,0,4,7,1,1,0,0,0,0,1,0,1,0
699,0,0,45.0,0,1,0,0,6,0,12,0,5,9,0,0,0,0,1,1,0,0,0,1
700,1,0,53.0,0,1,0,1,10,1,0,1,3,8,1,1,0,0,0,1,0,0,0,1
701,0,1,29.0,0,1,0,9,7,1,4,1,4,10,0,1,0,0,0,1,0,0,0,1
702,0,0,43.0,0,1,1,9,9,1,0,0,5,10,0,0,0,1,0,0,0,1,0,1
703,0,0,47.0,1,4,1,9,3,1,2,0,5,8,0,0,0,1,0,0,0,1,0,1
704,0,0,49.0,0,1,0,9,8,0,0,0,6,7,0,0,0,1,0,0,1,0,0,1
705,0,1,39.0,1,4,0,8,10,1,10,1,3,7,0,0,0,1,0,1,0,0,0,1
706,0,0,29.0,0,1,0,6,10,1,12,0,4,9,0,0,0,1,0,0,0,1,0,1
707,0,1,34.0,0,1,0,9,10,1,11,1,6,8,0,1,0,0,0,1,0,0,0,1
708,0,1,48.0,0,1,0,9,10,1,11,1,6,10,0,1,0,0,0,1,0,0,0,1
709,0,0,36.0,1,4,1,9,3,1,2,0,5,8,0,0,0,1,0,0,0,1,0,1
710,0,1,39.0,1,4,0,8,10,1,10,1,3,10,0,0,0,1,0,1,0,0,0,1
711,0,1,42.0,1,4,0,8,10,1,10,1,3,8,0,0,0,1,0,1,0,0,0,1
712,0,0,40.0,1,4,1,9,3,1,2,0,5,9,0,0,0,1,0,0,0,1,0,1
713,0,0,37.0,1,4,0,0,0,1,0,1,5,9,1,0,0,1,0,1,0,0,0,1
714,0,1,31.0,1,4,0,1,7,0,0,0,6,10,0,0,1,0,0,1,0,0,0,1
715,1,1,28.0,0,1,0,8,11,1,0,0,6,8,1,1,0,0,0,1,0,0,0,1
716,1,0,46.0,0,1,0,8,2,0,0,0,4,9,0,0,1,0,0,0,1,0,1,0
717,1,0,30.0,0,1,0,9,4,1,0,1,3,9,0,0,1,0,0,1,0,0,0,1
718,1,0,53.0,0,1,0,1,0,1,0,0,6,10,1,1,0,0,0,1,0,0,0,1
719,1,0,55.0,0,1,0,8,10,0,0,0,5,8,0,0,1,0,0,1,0,0,0,1
720,1,0,51.0,0,1,0,9,5,0,7,0,4,7,0,0,1,0,0,0,0,1,0,1
721,1,0,46.0,1,2,0,9,10,1,7,0,4,10,0,0,0,1,0,0,1,0,0,1
722,1,0,45.0,1,4,0,7,9,1,0,0,6,10,1,0,0,1,0,1,0,0,1,0
723,1,1,45.0,0,1,0,8,10,1,2,1,3,10,1,1,0,0,0,1,0,0,0,1
724,1,0,32.0,0,1,0,8,10,1,0,0,4,7,0,0,1,0,0,1,0,0,1,0
725,0,0,37.0,0,1,0,9,2,0,0,0,4,8,1,0,0,1,0,0,1,0,1,0
726,0,0,54.0,1,4,0,2,2,0,2,0,3,7,1,0,0,0,1,0,0,1,0,1
727,0,1,35.0,0,1,0,9,9,1,7,0,5,10,0,1,0,0,0,1,0,0,0,1
728,0,1,28.0,0,1,0,8,3,0,0,0,3,7,1,0,0,1,0,1,0,0,1,0
729,1,0,38.0,0,1,0,6,11,1,0,1,5,7,0,1,0,0,0,1,0,0,0,1
730,0,0,52.0,0,1,0,1,5,0,2,0,4,8,0,1,0,0,0,1,0,0,0,1
731,1,0,35.0,0,1,0,6,0,1,4,0,5,8,0,0,0,1,0,1,0,0,0,1
732,1,0,47.0,0,1,0,6,10,1,12,1,5,7,0,0,0,1,0,1,0,0,0,1
733,1,1,35.0,0,1,0,9,0,1,4,0,6,7,0,0,0,1,0,1,0,0,0,1
734,0,1,37.0,0,1,0,0,3,0,0,0,3,7,1,0,1,0,0,1,0,0,1,0
735,1,0,54.0,0,1,0,8,6,1,4,0,4,8,0,1,0,0,0,1,0,0,0,1
736,1,1,54.0,0,1,0,8,2,0,0,0,3,8,0,0,0,1,0,0,1,0,0,1
737,1,1,43.0,0,1,0,3,4,1,5,0,6,9,0,0,0,1,0,1,0,0,0,1
738,1,0,50.0,0,1,0,9,9,1,7,1,3,9,0,0,0,1,0,1,0,0,0,1
739,1,0,42.0,0,1,0,3,2,1,0,0,4,10,0,0,0,1,0,0,1,0,0,1
740,1,0,53.0,0,1,0,0,4,1,7,0,4,8,0,0,0,1,0,1,0,0,1,0
741,0,2,32.0,0,1,0,8,5,1,12,1,5,7,0,0,0,1,0,1,0,0,0,1
742,1,0,51.0,1,4,0,9,9,1,7,1,3,8,0,0,1,0,0,1,0,0,1,0
743,1,0,46.0,1,4,0,9,2,1,0,0,5,7,0,0,0,1,0,1,0,0,1,0
744,0,1,53.0,1,4,0,9,4,1,9,1,4,7,0,1,0,0,0,1,0,0,0,1
745,0,1,40.0,1,4,0,8,0,1,0,0,3,7,1,1,0,0,0,1,0,0,0,1
746,0,1,46.0,1,4,0,1,0,1,0,0,3,8,0,0,1,0,0,1,0,0,0,1
747,0,1,44.0,1,4,0,9,4,1,9,1,4,7,0,1,0,0,0,1,0,0,0,1
748,0,1,53.0,1,4,0,1,7,0,0,0,3,10,0,0,1,0,0,1,0,0,0,1
749,1,2,29.0,1,2,0,8,10,1,12,1,5,9,1,1,0,0,0,1,0,0,0,1
750,1,0,46.0,0,1,0,8,2,1,6,1,3,9,1,1,0,0,0,1,0,0,0,1
751,1,0,41.0,0,1,0,1,0,1,12,1,3,7,0,1,0,0,0,1,0,0,0,1
752,1,2,34.0,0,1,1,2,5,1,5,1,5,7,0,0,1,0,0,1,0,0,0,1
753,0,1,35.0,0,1,0,9,10,1,11,1,6,9,0,1,0,0,0,1,0,0,0,1
754,0,1,55.0,0,1,0,9,10,1,11,1,6,8,0,1,0,0,0,1,0,0,0,1
756,1,0,46.0,0,1,0,1,10,1,0,1,3,8,1,1,0,0,0,0,1,0,0,1
757,0,1,52.0,0,1,0,9,10,1,11,1,6,8,0,1,0,0,0,0,1,0,0,1
765,0,2,40.0,0,1,0,9,10,1,11,1,6,8,0,1,0,0,0,0,1,0,0,1
767,1,2,37.0,0,1,0,9,6,1,5,1,5,7,0,0,1,0,0,0,1,0,1,0
768,1,2,40.0,0,1,0,1,10,1,0,1,3,9,1,1,0,0,0,0,1,0,0,1
772,1,2,36.0,0,1,0,6,11,1,0,1,5,8,0,1,0,0,0,0,1,0,1,0
774,0,2,29.0,1,0,0,9,10,1,11,1,6,8,0,0,0,0,1,0,1,0,1,0
775,0,2,44.0,1,0,0,9,10,1,11,1,6,7,0,0,0,0,1,0,1,0,1,0
778,0,2,50.0,1,0,0,1,6,1,11,1,4,10,0,0,0,0,1,0,1,0,1,0
779,0,2,42.0,1,0,0,0,7,1,11,1,4,10,0,0,0,0,1,0,1,0,1,0
782,0,2,45.0,1,0,0,8,7,1,2,1,5,7,0,0,0,0,1,0,1,0,1,0
785,0,2,33.0,1,0,0,0,7,1,9,0,6,7,1,0,0,0,1,0,1,0,1,0
787,1,0,38.0,1,2,0,1,6,1,4,0,6,10,0,0,0,0,1,1,0,0,0,1
788,1,2,28.0,0,1,0,0,4,1,0,0,3,8,0,1,0,0,0,1,0,0,0,1
789,1,2,46.0,0,1,0,10,5,1,4,0,6,10,0,0,0,0,1,1,0,0,0,1
790,1,1,34.0,0,1,0,0,4,1,0,0,6,7,0,0,0,0,1,1,0,0,1,0
791,0,2,33.0,0,1,1,9,10,0,5,0,3,7,0,0,0,0,1,1,0,0,0,1
792,1,2,37.0,0,1,1,1,2,1,4,0,6,10,0,0,0,0,1,1,0,0,1,0
802,0,1,45.0,0,1,1,9,9,0,0,0,3,10,0,0,0,0,1,1,0,0,0,1
803,1,0,34.0,0,1,0,4,10,1,0,0,3,7,0,0,0,0,1,1,0,0,1,0
804,0,1,53.0,0,1,0,7,7,0,9,0,3,7,1,0,0,0,1,0,0,1,0,1
805,0,1,37.0,0,1,0,3,3,1,0,0,6,10,0,0,0,1,0,0,0,1,0,1
806,1,1,29.0,0,1,0,1,10,1,0,0,4,8,0,0,0,0,1,1,0,0,1,0
